Book	Reference	ID	Quote	Occurrence
ROM	8:26	k5pn	τὸ & τί προσευξώμεθα καθὸ δεῖ, οὐκ οἴδαμεν	2
ROM	8:28	q3ce	τοῖς & κλητοῖς οὖσιν	2
ROM	11:2	wzs6	τὸν λαὸν αὐτο	1
ROM	11:18	gqd6	μὴ κατακαυχῶ τῶν κλάδων. εἰ δὲ κατακαυχᾶσαι, οὐ σὺ τὴν ῥίζαν βαστάζεις, ἀλλὰ ἡ ῥίζα σέ	1
ROM	11:28	dr2q	κατὰ & τὴν ἐκλογὴν	2
ROM	11:36	abc1	ἐξ αὐτοῦ, καὶ δι’ αὐτοῦ, καὶ εἰς αὐτὸν, τὰ πάντα. αὐτῷ	1
ROM	14:4	cp9y	τῷ ἰδίῳ κυρίῳ στήκει ἢ πίπτει. σταθήσεται δέ, δυνατεῖ γὰρ ὁ Κύριος στῆσαι αὐτόν	1
ROM	16:2	inh1	καὶ γὰρ αὐτὴ προστάτις πολλῶν ἐγενήθη καὶ ἐμοῦ αὐτοῦ	2
ROM	16:24	ct9t	Ἡ χάρις τοῦ κυρίου ἡμῶν Ἰησοῦ χριστοῦ μετὰ πάντων ὑμῶν. Ἀμήν	1
RUT	1:6	zo55	כִּ֤י שָֽׁמְעָה֙ בִּ⁠שְׂדֵ֣ה מוֹאָ֔ב כִּֽי־פָקַ֤ד יְהוָה֙ אֶת־עַמּ֔⁠וֹ\nלָ⁠תֵ֥ת לָ⁠הֶ֖ם לָֽחֶם	1
